ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
570,9,9,0,0
571,6,6,6,0
573,10,9,1,0
575,4,4,0,0
576,3,0,4,0
577,6,5,6,0
579,10,9,1,0
