ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
362,9,11,0,0
363,3,4,0,0
365,23,16,7,0
366,0,1,0,0
367,24,25,0,0
368,6,3,3,1
370,1,0,1,0
371,22,23,0,0
374,0,2,0,0
377,7,9,0,0
378,3,3,1,0
379,6,6,0,0
