ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
350,0,1,2,0
351,2,1,5,0
353,1,1,1,0
354,1,1,0,0
356,111,65,115,5
357,1,1,1,0
358,28,1,29,1
359,196,88,197,3
