ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
330,34,31,21,1
331,28,11,20,0
332,28,14,22,0
333,72,54,62,2
334,160,66,176,6
335,17,4,17,3
336,0,0,2,0
337,5,2,7,0
