ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
270,67,31,50,0
271,45,26,31,0
272,103,20,106,1
273,2,2,3,0
275,7,6,7,0
277,99,47,85,6
278,20,15,21,3
279,128,54,130,6
