ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
690,1,0,1,0
691,1,1,0,0
692,1,1,3,0
694,2,2,5,0
695,2,0,3,0
696,14,12,3,0
