ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
520,33,25,37,0
521,0,1,0,0
523,5,0,5,0
526,1,1,0,0
528,0,0,1,0
529,0,1,0,0
