ICD,OMIM gene count,Match in DOID,Match in Orphanet,Match distinct Gene.refGene
210,1,0,1,0
211,12,0,14,0
212,1,0,2,0
213,0,0,2,0
214,0,1,1,0
215,0,0,1,0
216,9,0,10,0
218,1,1,0,0
225,9,0,9,0
227,15,0,16,0
228,0,0,1,0
229,1,0,1,0
